sec,linear_x,linear_y,angular_z
1426,0.0013223349815234542,0.0020356830209493637,0.029254194349050522
1426,-0.001234515686519444,-0.0013893204741179943,-0.00012507563224062324
1426,-0.0012302550021559,-0.0013213595375418663,0.00034071929985657334
1426,-0.0012256629997864366,-0.0012013769010081887,-0.000483024021377787
1426,-0.001223717350512743,-0.0009755683713592589,-0.0011928081512451172
1426,-0.0012271160958334804,-0.0012147948145866394,-0.000611918221693486
1426,-0.0012428663903847337,-0.0013341009616851807,0.0005834168405272067
1426,-0.0012274704640731215,-0.0013458431931212544,0.0005464865826070309
1426,-0.0012222249060869217,-0.0013067317195236683,-0.00033527324558235705
1426,-0.0012159100733697414,-0.0012802521232515574,-0.000347867637174204
1427,-0.0011708178790286183,-0.0008639564039185643,-0.0036316642072051764
1427,-0.0012317171785980463,-0.0011620628647506237,-0.000486902630655095
1427,-0.0012239132774993777,-0.001209983485750854,-0.00019658097880892456
1427,-0.001088472781702876,-0.0035127231385558844,-0.00044382456690073013
1427,-0.0013126262929290533,-0.0016827306244522333,0.0034041760955005884
1427,-0.0012277628993615508,-0.0012812481727451086,0.0005103547009639442
1427,-0.002591880736872554,-0.004146106541156769,-0.013540469110012054
1427,-0.001211022725328803,-0.001371046295389533,6.930134259164333e-05
1427,-0.0012109529925510287,-0.0013503101654350758,0.0004407530650496483
1427,-0.0012148931855335832,-0.0012834907975047827,0.00016195102944038808
1428,-0.0012044956674799323,-0.0011691584950312972,-0.0013117046328261495
1428,-0.0012186662061139941,-0.0013351408997550607,-0.00026664373581297696
1428,-0.001220760983414948,-0.0013465841766446829,0.00048079213593155146
1428,-0.0011525838635861874,-0.000810930272564292,-0.0038950040470808744
1428,-0.00129836390260607,-0.0016006957739591599,0.0030368186999112368
1428,-0.0012138248421251774,-0.0012852874351665378,0.0006920601590536535
1428,-0.0025487104430794716,-0.004026609007269144,-0.013677967712283134
1428,-0.0012030669022351503,-0.00135893898550421,0.00011364473175490275
1428,-0.0011913338676095009,-0.001237552147358656,-0.00029130501206964254
1428,-0.001213541254401207,-0.001264955848455429,0.00027149965171702206
1429,-0.0012071222299709916,-0.0012206744868308306,6.621192733291537e-05
1429,-0.0012907416094094515,-0.0016154410550370812,0.003302905475720763
1429,-0.0012173413997516036,-0.001223282073624432,0.0002815126208588481
1429,-0.0011525172740221024,-0.0012743958504870534,0.0010767014464363456
1429,-0.001206669257953763,-0.0012657742481678724,-3.28811802319251e-05
1429,-0.0011940563563257456,-0.0012395583325996995,-8.49865609779954e-05
1429,-0.0011987786274403334,-0.0012495378032326698,4.997111318516545e-05
1429,-0.0012139426544308662,-0.0012633755104616284,0.0001213130381074734
1429,-0.001211336930282414,-0.0013778184074908495,0.00042625429341569543
1429,-0.0012067188508808613,-0.0012974600540474057,0.0005225496715866029
1430,-0.0011428267462179065,-0.0008435753406956792,-0.0034031656105071306
1430,-0.0012844501761719584,-0.001652739942073822,0.0034677234943956137
1430,-0.0012010785285383463,-0.0011750231496989727,-4.785506462212652e-06
1430,-0.001139666885137558,-0.0012570207472890615,0.0009200941422022879
1430,-0.0011854061158373952,-0.0012285911943763494,-7.473154983017594e-05
1430,-0.0011691141407936811,-0.0012513452675193548,-0.0005648363148793578
1430,-0.0011946989689022303,-0.0013047225074842572,0.00037083489587530494
1430,-0.0012007554760202765,-0.0013857192825526,0.001153248711489141
1430,-0.0011837233323603868,-0.0010859734611585736,-0.0011131828650832176
1430,-0.0011937814997509122,-0.001203003223054111,2.372603012190666e-05
1431,-0.001119880354963243,-0.0012403303990140557,0.0007096407352946699
1431,-0.00117837218567729,-0.0012047962518408895,-0.00015536858700215816
1431,-0.0011879444355145097,-0.0012627574615180492,0.00032931126770563424
1431,-0.0011946976883336902,-0.0012899183202534914,0.0004942140658386052
1431,-0.0011895684292539954,-0.0013593282783403993,0.0011276445584371686
1431,-0.00119216728489846,-0.0011770904529839754,-0.00020589149789884686
1431,-0.0011861432576552033,-0.001190735842101276,-9.389474871568382e-05
1431,-0.001120966742746532,-0.0012475036783143878,0.0006978157325647771
1431,-0.001176435616798699,-0.0012918241554871202,0.00011369626736268401
1431,-0.0011686430079862475,-0.0012417958350852132,0.0001476549223298207
1432,-0.0011772047728300095,-0.001193235395476222,-0.00024553315597586334
1432,-0.0011804183013737202,-0.0013415354769676924,0.0008454224443994462
1432,-0.001173318363726139,-0.001136914361268282,-0.0005139971035532653
1432,-0.001178462989628315,-0.0011426724959164858,-0.00022599869407713413
1432,-0.001175790443085134,-0.0012154204305261374,-0.00010379528248449787
1432,-0.0011675498681142926,-0.0011999817797914147,4.632954369299114e-05
1432,-0.0011641366872936487,-0.0012518606381490827,-0.000365844665793702
1432,-0.0011584166204556823,-0.001149949268437922,-0.0005847474676556885
1432,-0.0010569776641204953,-0.003379512345418334,-0.0005857495707459748
1432,-0.0015372111229225993,0.000141761134727858,-0.010766484774649143
1433,-0.0011835646582767367,-0.0011767562245950103,0.00015340645040851086
1433,-0.0011740275658667088,-0.0011556027457118034,-0.0002739510964602232
1433,-0.0011709390673786402,-0.0012876787222921848,0.0004964683321304619
1433,-0.001161576947197318,-0.001241538324393332,-0.0002843054535333067
1433,-0.0011523640714585781,-0.0011756959138438106,-0.0005590466316789389
1433,-0.000364552135579288,-9.36068463488482e-05,0.009261960163712502
1433,-0.0011682548793032765,-0.0012996470322832465,0.0004830330144613981
1433,-0.0011630228254944086,-0.0011726709781214595,2.427125025405985e-07
1433,-0.0011649086372926831,-0.0012284296099096537,0.0002127683546859771
1433,-0.0010467530228197575,-0.0033313247840851545,-0.00036564626498147845
1434,-0.0012501892633736134,-0.0016111807199195027,0.003398990724235773
1434,-0.001158798928372562,-0.0011681369505822659,-0.00017123922589235008
1434,-0.001148148556239903,-0.0011346259852871299,-0.00046180165372788906
1434,-0.0011630627559497952,-0.001306612859480083,0.00077183882240206
1434,-0.0011563492007553577,-0.0012629955308511853,-0.00012866745237261057
1434,-0.0011555345263332129,-0.0012327696895226836,-0.00015448842896148562
1434,-0.00035698612919077277,-6.67930071358569e-05,0.008988714776933193
1434,-0.0011458913795650005,-0.0011608876520767808,-0.00028960092458873987
1434,-0.0011579699348658323,-0.0012666481779888272,0.0003894928959198296
1434,0.3760377764701843,0.0038395305164158344,0.047846559435129166
1435,0.7944055199623108,-0.0322331041097641,-0.004569411277770996
1435,1.2313027381896973,0.17809073626995087,1.5159910917282104
1435,1.6530811786651611,0.3375043272972107,2.064265727996826
1435,1.6975462436676025,0.3974592089653015,1.696044683456421
1435,1.9616646766662598,-0.03998302295804024,0.10373041778802872
1435,1.9674075841903687,0.08995252102613449,-0.08976353704929352
1435,1.9098918437957764,-0.23197495937347412,-0.5673349499702454
1435,1.734781265258789,-0.3184211850166321,-2.484314441680908
1435,1.6600171327590942,-0.44855996966362,-2.2321698665618896
1435,1.9606640338897705,-0.008457343094050884,-0.9075559377670288
1435,1.9683234691619873,-0.05640343949198723,0.06270299106836319
1436,1.98423171043396,0.06414453685283661,-0.2293931096792221
1436,1.9147109985351562,-0.03914899751543999,0.13651081919670105
