sec,nanosec,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z
1236,966731179,-0.0011555345263332129,-0.0012327696895226836,0.0,0.0,0.0,-0.00015448842896148562
1237,64514,-0.001172873075120151,-0.0012215095339342952,0.0,0.0,0.0,0.00023751177650410682
1237,33397849,-0.001161487540230155,-0.0011765824165195227,0.0,0.0,0.0,-6.442413723561913e-05
1237,66731184,-0.00035698612919077277,-6.67930071358569e-05,0.0,0.0,0.0,0.008988714776933193
1237,100064519,-0.0010716724209487438,-0.003636973677203059,0.0,0.0,0.0,0.0016624622512608767
1237,133397854,-0.0011580116115510464,-0.0012050430523231626,0.0,0.0,0.0,0.00016722665168344975
1237,166731189,-0.0011458913795650005,-0.0011608876520767808,0.0,0.0,0.0,-0.00028960092458873987
1237,200064525,-0.0012402976863086224,-0.0015749557642266154,0.0,0.0,0.0,0.0030111288651823997
1237,233397860,-0.0011664914200082421,-0.0013845765497535467,0.0,0.0,0.0,0.0006645266548730433
1237,266731195,-0.0011579699348658323,-0.0012666481779888272,0.0,0.0,0.0,0.0003894928959198296
1237,300064530,-0.0011540395207703114,-0.0011220802552998066,0.0,0.0,0.0,-0.00025957723846659064
1237,333397865,-0.0011542277643457055,-0.0011122400173917413,0.0,0.0,0.0,-0.000633729447145015
1237,366731200,-0.0011599278077483177,-0.0011462261900305748,0.0,0.0,0.0,-0.00025953713338822126
1237,400064535,-0.0011539626866579056,-0.0012341359397396445,0.0,0.0,0.0,0.0001933695311890915
1237,433397870,-0.0003539422177709639,-7.299730350496247e-05,0.0,0.0,0.0,0.008938610553741455
1237,466731205,-0.0010361350141465664,-0.003320325631648302,0.0,0.0,0.0,-0.0002940364647656679
1237,500064540,-0.0011765605304390192,-0.0013587784487754107,0.0,0.0,0.0,0.0011962021235376596
1237,533397875,-0.0011743807699531317,-0.0012764130951836705,0.0,0.0,0.0,0.0005800850922241807
1237,566731210,-0.001231176545843482,-0.0015483259921893477,0.0,0.0,0.0,0.002819253131747246
